año,codigo_linea,linea,expediciones_anuales,dias_servicio
2024,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,11610,913
2024,A3342,BILBAO - Sodupe - ARTZINIEGA,27834,913
2024,A3343,BILBAO - Sodupe - GORDEXOLA,10638,626
2024,A3411,BILBAO - GETXO - Azkorri,59491,913
2024,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),71399,913
2024,A3422,Areeta/Las Arenas - BERANGO,26398,913
2024,A3451,Areeta/Las Arenas  - Armintza,29486,913
2024,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),29148,913
2024,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),27324,913
2024,A3499,PLENTZIA - GORLIZ,87217,913
